0,[0 2470 7094 7609],[5.0153557e-20 2.7222978e-15 1.0 6.853165e-20]
1,[1 237 1565 2405 3089 5067 5195 5516 6073 6141 6802 7868 7972 8110 10981 11552 11613 11780 12083],[1.196052e-15 2.3740468e-15 2.6627111e-17 3.3279587e-18 7.762168e-15 0.00085449003 2.3864014e-10 3.2047085e-09 0.39760965 0.00033880206 6.35835e-06 0.60002863 1.2142701e-07 0.0011619701 4.5844266e-16 2.7496191e-10 1.0256821e-13 1.2333836e-11 5.6632094e-14]
2,[2 1600 2899 10978 12219],[0.9782891 0.00022284948 0.0068305936 0.014510486 0.00014694403]
3,[2 1600 2899 10978 12219],[1.7956355e-08 2.2093016e-06 0.99999774 4.710853e-08 5.693745e-11]
4,[3 9 1735 2977 6678 10594],[0.92456543 1.2339248e-15 0.075358525 2.5188386e-08 7.607443e-05 5.0640126e-14]
5,[4 66 71 222 388 787 1346 1519 1523 4126 4242 4572 4614 9839 10550 10677 10965 11304 11673 12134],[1.2829071e-10 4.2368294e-18 7.8109466e-08 8.1523086e-14 5.3863914e-15 1.0653634e-15 4.9071305e-13 5.369542e-10 1.487171e-10 2.2682002e-11 6.9040954e-12 2.4744148e-18 1.8927899e-07 0.99999964 6.992423e-16 9.144682e-15 3.107288e-08 1.9509484e-11 6.0107524e-08 3.2612905e-11]
6,[4 66 71 222 388 787 1346 1519 4126 4242 4572 4614 9839 10677 10965 11673 12134],[1.2151824e-06 3.9297447e-06 0.00027513062 0.00019546387 0.0002500832 2.8148702e-06 1.4796166e-06 4.659823e-05 2.5200709e-08 0.0048282254 0.9627436 1.1473645e-08 0.03159224 5.303298e-07 5.8626916e-05 7.824365e-08 5.3912586e-09]
7,[5 1563 2952 3245 3407 4414 5168],[4.618186e-12 2.4685642e-15 4.389305e-05 4.4627907e-07 0.17514686 0.7742507 0.05055817]
8,[6 358 927 1012 1652 2419 3318 10832 11617],[0.26204166 0.0019845015 0.0019383845 0.47817048 0.0027490896 0.0010437546 0.2513787 0.0006813711 1.2060515e-05]
9,[7],[1.0]
10,[8 4425 10688 12315],[7.53686e-08 0.9999999 1.06189566e-13 2.532656e-21]
11,[10],[1.0]
12,[11 106 11872],[8.4267645e-05 0.99991524 4.298781e-07]
13,[11 11872],[0.9999999 9.0086786e-08]
14,[12],[1.0]
15,[13 380 516 906 1059 1682 2171 5200 8144 11373 12188],[5.5689598e-05 7.165982e-15 6.602841e-09 7.670039e-10 3.285366e-11 0.0027565171 7.9866055e-05 2.8466404e-06 0.99710506 1.589138e-08 2.3992494e-16]
16,[14 2438 10428],[0.04284084 1.2614349e-07 0.95715904]
17,[15 8754 10781],[1.7753239e-10 1.0 2.5396191e-12]
18,[16],[1.0]
19,[17 8987],[1.7519023e-06 0.9999982]
20,[18 7298],[1.1545384e-13 1.0]
21,[19],[1.0]
22,[20 4131 7177 9642 10529 10677 11288],[1.262752e-19 8.151689e-14 7.5847477e-13 1.0 1.2193317e-23 8.451638e-17 7.9441376e-21]
23,[21 9245 11431],[1.6226223e-12 0.97442967 0.02557025]
24,[22 3178 8705 10013],[2.7473332e-12 0.0016548268 0.99832433 2.0799453e-05]
25,[23],[1.0]
26,[24],[1.0]
27,[25 1932],[1.5293177e-08 1.0]
28,[26],[1.0]
29,[27 6027],[0.06807647 0.9319235]
30,[28 760 1689 2321 2562 6499 8054 9484 10625 11306 11802 12003],[0.008196198 6.304924e-12 9.934243e-08 2.0637066e-05 4.2434418e-05 0.0010310659 0.97999245 9.494344e-07 7.262386e-10 0.01071609 2.2649216e-09 6.3981574e-08]
31,[29 893 3084 10788 11559 11816],[6.25393e-11 2.528778e-19 1.0 6.598359e-09 2.6804585e-09 1.8829323e-10]
32,[30],[1.0]
33,[31 113 362 2165 3213 3880 5142 7423 8813 10061 10154 10255 11122 11300 11739 11942],[3.2565476e-13 8.166493e-18 1.4560443e-19 1.5643067e-13 2.435824e-17 7.5264994e-10 4.650016e-13 0.9992761 2.619535e-10 0.0007238476 2.6352154e-10 2.4562479e-18 8.461813e-15 6.407049e-09 4.9449674e-11 8.87229e-18]
34,[32],[1.0]
35,[33 34 2352 9493],[0.9927469 0.0017025492 0.005542647 7.860448e-06]
36,[35 36 2692 6919 7889 8538],[3.1843808e-06 5.4272372e-14 1.7502202e-17 4.596743e-10 4.3722146e-08 0.9999968]
37,[37],[1.0]
38,[38 664 5428 6316 6714 8798],[1.2178996e-12 4.213556e-07 3.4610716e-07 0.999998 1.1664513e-07 1.1201004e-06]
39,[39 1028 1178 1218 3454],[0.3266605 0.659873 0.00023096461 0.013188319 4.720651e-05]
40,[39 1704 2685 4908],[2.826596e-09 3.532721e-10 2.8418904e-12 1.0]
41,[39 349 919 921 1230],[0.0006996447 5.798195e-06 1.1094679e-05 3.0172187e-09 0.9992835]
42,[40 4369],[3.5520756e-08 1.0]
43,[41 850 3408 6145 7490 7895 9732],[5.6595084e-10 6.5826986e-25 1.3076682e-17 0.001401831 0.99859804 2.7573242e-14 1.3812642e-07]
44,[42 52 132 1598 2515 4255 5027 5185 5947 5983 6254 8575 9384 10606 10677 11449 11498 11918],[4.9881622e-12 1.1784105e-26 9.418894e-28 5.144326e-19 3.468778e-18 8.028047e-09 6.624521e-12 3.7828297e-18 3.9245753e-09 7.502949e-07 0.9997625 7.4318775e-22 0.00023681273 3.829585e-24 1.28745705e-23 1.1524e-26 2.6862698e-24 6.235829e-19]
45,[43 248 468 678 765 1585 1644 9736 10470 11566],[3.408819e-06 0.9706032 2.1345692e-09 6.3043126e-10 0.0011112499 6.25724e-08 5.7644503e-08 0.02803449 3.571432e-09 0.0002474705]
46,[44 1754 4447 6881],[2.7576988e-10 3.6057738e-08 0.8496991 0.15030095]
